date,jpy_to_bdt,bdt_to_jpy,usd_to_jpy,usd_to_bdt
2024-03-02,0.730826,1.368314,150.120185,109.711797
2024-03-03,0.730081,1.369710,150.154564,109.625044
2024-03-04,0.730944,1.368093,150.081634,109.701314
2024-03-05,0.729759,1.370316,150.410935,109.763661
2024-03-06,0.731801,1.366492,149.974529,109.751511
2024-03-07,0.736794,1.357231,148.916830,109.721070
2024-03-08,0.740714,1.350048,147.842650,109.509153
2024-03-09,0.746138,1.340235,147.083505,109.744594
2024-03-10,0.745454,1.341464,147.062829,109.628606
2024-03-11,0.748887,1.335315,146.573228,109.766785
2024-03-12,0.747050,1.338598,146.918354,109.755408
2024-03-13,0.744428,1.343313,147.303604,109.656964
2024-03-14,0.743551,1.344898,147.584752,109.736753
2024-03-15,0.741392,1.348814,148.430534,110.045254
2024-03-16,0.736367,1.358018,149.035170,109.744609
2024-03-17,0.736039,1.358623,148.939069,109.625035
2024-03-18,0.734851,1.360820,149.300110,109.713347
2024-03-19,0.736229,1.358272,149.261571,109.890752
2024-03-20,0.725755,1.377875,151.211943,109.742836
2024-03-21,0.729562,1.370686,150.429079,109.747284
2024-03-22,0.724310,1.380624,151.512650,109.742165
2024-03-23,0.724959,1.379389,151.402941,109.760911
2024-03-24,0.726584,1.376303,151.426383,110.024053
2024-03-25,0.723991,1.381233,151.254573,109.506923
2024-03-26,0.725296,1.378747,151.305718,109.741444
2024-03-27,0.724430,1.380395,151.513164,109.760702
2024-03-28,0.724660,1.379958,151.466389,109.761632
2024-03-29,0.725081,1.379156,151.365879,109.752550
2024-03-30,0.725166,1.378995,151.342312,109.748234
2024-03-31,0.727285,1.374977,151.393774,110.106443
2024-04-01,0.724974,1.379360,151.321499,109.704172
2024-04-02,0.723554,1.382067,151.701230,109.764014
2024-04-03,0.723218,1.382709,151.631588,109.662666
2024-04-04,0.723015,1.383096,151.616493,109.621063
2024-04-05,0.727928,1.373761,150.929158,109.865632
2024-04-06,0.723358,1.382442,151.615623,109.672333
2024-04-07,0.723995,1.381224,151.617229,109.770181
2024-04-08,0.723482,1.382205,151.747716,109.786670
2024-04-09,0.721982,1.385076,151.885439,109.658594
2024-04-10,0.723608,1.381963,151.757408,109.812895
